Title|Authors|Abstract|PDF
Нераскрытый человеческий потенциал как вызов и угроза экономической безопасности|Сахно Ю. С.; Скоряк К. А.; Бондарь С. А.|В данной статье рассмотрены различные факторы, которые влияют на раскрытие человеческого потенциала, как со стороны человека, так и со стороны организации и уделено внимание тому, как улучшить раскрытие потенциала лично для человека и для организации, которая может применить различные инструменты и помочь обществу стать лучше. Также в статье приведен сравнительный анализ российских организаций в сравнении с зарубежной.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32055/1/ebs_2023_393_400.pdf
Об управлении рисками денежных потоков в организации|Кольцова Т. А.; Криворучко А. А.|Успешное функционирование предприятия и осуществление им хозяйственной деятельности невозможно без использования денежных средств, которые являются важной частью его активов. Эффективное управление денежными потоками обеспечит их оптимизацию, а также повысит операционную мощность хозяйствующего субъекта, его денежные возможности и прибыльность, уровень реагирования на риски. В статье рассмотрено понятие термина «денежный поток», исследованы различные подходы к классификации денежных потоков, на основе которых охарактеризована классификация рисков денежных потоков, исследован процесс управления рисками денежных потоков.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32049/1/ebs_2023_359_364.pdf
Развитие аудита в РФ как инструмента обеспечения экономической безопасности бизнеса|Баденова Л. А.; Демидова А. И.; Шарова А. С.|Актуальность обусловлена тем, что аудит в настоящее время играет важную роль в рамках обеспечения экономической безопасности хозяйствующих субъектов. Рынок аудиторских услуг стремительно развивается, развитие происходит не поступательно и не равномерно из-за различных внешних и внутренних факторов, что играет важную роль в обеспечении безопасности бизнеса. По этим причинам особое внимание необходимо уделять изучению состояния рынка аудиторских услуг, а также его влияния на экономическую безопасность бизнеса. Целью исследования является проведение анализа состояния рынка аудиторских услуг РФ, определение проблем рынка аудиторских услуг и определение их влияния на обеспечение экономической безопасности бизнеса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32020/1/ebs_2023_18_27.pdf
Организация бухгалтерского учета материально-производственных запасов коммерческой организации в целях обеспечения ее экономической безопасности|Костина Д. Д.; Бдайциева Л. Ж.|Статья посвящена актуальным проблемам организации бухгалтерского учета материально-производственных запасов (МПЗ) в целях минимизации угроз экономической безопасности коммерческой организации. Поступление, наличие и использование МПЗ связаны с рядом рисков, таких как устаревание, порча или хищение, неправильная оценка, учет и другими, которые могут негативно сказаться на финансовом положении и экономической безопасности организации. Вследствие чего актуальной задачей для коммерческой организации является надлежащая организация бухгалтерского учета МПЗ, которая позволит своевременно и достоверно отражать информацию о наличии и движении МПЗ, а также контролировать их использование и сохранность.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32060/1/ebs_2023_427_433.pdf
Базовые принципы учета доходов и расходов в РФ и КНР, их значение в информационном обеспечении экономической безопасности бизнеса|Хао Лиминь; Токмакова Е. Г.|При исследовании, результаты которого представлены в статье использован метод сравнения базовых принципов учета доходов и расходов в РФ и КНР. Использование данного инструмента изучения вопросов учета позволило констатировать наличие общих правил, что свидетельствует об определенных общепринятых приемах в бухгалтерском учете в процессе формирования финансового результата в РФ и КНР при сопоставлении доходов и расходов. Детализация информации о доходах и расходах на счетах по определенным направлениям, применяемая в учете КНР представляется целесообразной, с точки зрения информативности полученных данных и возможности их использования в управлении бизнесом и в обеспечении его экономической безопасности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32066/1/ebs_2023_457_461.pdf
Подготовка специалистов в области экономической безопасности: опыт НГУЭУ|Анофриков С. П.; Облаухова М. В.|Статья посвящена вопросам подготовки специалистов в сфере экономической безопасности в Новосибирском государственном университете экономики и управления. Рассматривается история возникновения специальности в университете, эволюция учебных планов. Представлены результаты анкетирования выпускников о практическом использовании полученных в университете знаний. Обозначены проблемы реализации образовательной программы как со стороны преподавательского состава, так и со стороны выпускников.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32068/1/ebs_2023_467_476.pdf
Анализ использования технологий больших данных российскими компаниями в условиях цифровой трансформации|Вахрушина А. А.|В статье представлены результаты анализа использования технологий больших данных российскими компаниями в 2021 г. Обобщены данные о количестве организаций, проводивших анализ Big Data, по территориальному признаку, по видам экономической деятельности и в зависимости от способов проведения анализа. Выявлены отрасли экономики, в которых наиболее активно развито применение компаниями цифровых технологий анализа больших данных собственными силами. Отмечены наиболее распространенные инструменты информационных и коммуникационных технологий. Раскрыты возможные направления использования российскими компаниями цифровых технологий сбора и обработки информации, в том числе для решения вопросов безопасности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32037/1/ebs_2023_270_277.pdf
Экономические преступления и экономическая безопасность региона|Гусак А. И.; Кольцова Т. А.|Одной из характеристик состояния экономической безопасности региона является значение показателей, характеризующих преступность в экономической сфере. Экономические преступления наносят существенный ущерб, как общественным отношениям в области государственного управления, так и материальному благосостоянию регионов в части экономической деятельности. Статья посвящена определению понятий «экономическая безопасность» и «экономическое преступление», раскрытию основных факторов экономической безопасности региона, характеристике признаков преступлений в сфере экономики, анализу показателей уровня экономических преступлений в Тюменской, Курганской, Челябинской и Свердловской областях.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32064/1/ebs_2023_46_51.pdf
Социально-экономическое неравенство в системе экономической безопасности региона|Занчук М. Р.; Скипин Д. Л.|Данная статья посвящена исследованию уровня неравенства и его влиянию на экономическую безопасность Сибирского федерального округа. В работе раскрывается сущность и причины неравенства. Для анализа неравенства и его связи с экономической безопасностью отобран ряд показателей за период с 2001 по 2020 г. Выполнен дескриптивный анализ показателей и проведен регрессионный анализ для установления взаимосвязи экономической безопасности и социально-экономического неравенства. Установлено: бедность является фактором, оказывающим влияние на экономическую безопасность региона. Хронический характер бедности способствует усугублению рисков. Для снижения уровня бедности предлагается провести ряд соответствующих мер, что будет способствовать не только повышению качества жизни людей, но и обеспечению экономической безопасности региона.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32011/1/ebs_2023_82_93.pdf
Оценка надежности контрагентов в системе обеспечения экономической безопасности хозяйствующего субъекта|Ямщиков В. И.; Сахно Ю. С.|В данной статье рассматриваются признаки неблагонадежных контрагентов, виды проверок на надежность, возможности автоматизированных систем проверки контрагентов, а также государственные ресурсы, которые помогут специалисту при оценке надежности контрагентов в системе обеспечения экономической безопасности хозяйствующего субъекта.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32057/1/ebs_2023_407_412.pdf
Предпринимательские компетенции и грамотность студентов в сфере финансовой безопасности|Евлахова Ю. С.|Статья посвящена обсуждению и анализу предпринимательских компетенций и личной финансовой безопасности на примере студенческой молодежи. Представлены результаты опроса студентов вуза по проблемам личной финансовой безопасности, предпочтительным темам и каналам получения информации в этой сфере. Подтвержден разрыв между уровнями воспринимаемой и фактической грамотности, который может быть ликвидирован за счет расширения в образовательных программах блока по критической оценке знаний. Раскрыты направления использования социальных сетей и каналов в telegram как источников информации в сфере финансовой безопасности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32070/1/ebs_2023_484_489.pdf
Методы финансового анализа для оценки благонадежности контрагента|Антоненко В. Е.; Арзуманян М. Ю.; Белявская А. О.; Сахно Ю. С.|На сегодняшний день ведение любого бизнеса строится в тесной взаимосвязи с контрагентами. Для успешного партнерства необходимо провести проверку благонадежности контрагента, что поспособствует предотвращению риска неисполнения договора, обезопасит от сотрудничества с «фирмами-однодневками». Проверка контрагента является обязательным условием проявления должной осмотрительности. Компании должны тщательно проводить проверку контрагентов на благонадежность перед заключением договора. Иначе рискуют попасть на ненадежных партнеров и навлечь на себя доначисление налогов и штрафов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32058/1/ebs_2023_413_420.pdf
О выполнении программы производственной практики по специальности «Экономическая безопасность»|Зылёва Н. В.|Статья посвящена актуальным для практикантов специальности «Экономическая безопасность» вопросам выполнения заданий производственной практики (знакомство с документами, регламентирующими деятельность по экономической безопасности; оценка обеспечения физической, кадровой и информационной безопасности организации; анализ дебиторской задолженности и ее влияние на экономическую безопасность организации и др.) и сбора копий документов и прочей доказательной информации (фотографий, например) для формирования приложений отчета о прохождении практики. В результате исследования предложены два дополнительных условия обязанностей профильной организации, не предусмотренные примерной формой договора о практической подготовке обучающихся, открывающие практикантам возможность более успешного прохождения практики.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32071/1/ebs_2023_490_494.pdf
Инвестиционная политика как инструмент обеспечения экономической безопасности Узбекистана|Каюмов Р. И.|В статье рассматриваются вопросы взаимосвязи инвестиционной политики и экономической безопасности страны, показана роль инвестиционной политики в условиях надвигающегося мирового экономического кризиса в обеспечении экономической самостоятельности страны, упреждении и преодолении последствий экономического кризиса. Обоснована необходимость разработки инвестиционной политики в Узбекистане, предложен подход к ее формированию, структуре, основные аспекты и направления инвестиций. В сфере реальных инвестиций предлагается сделать акцент на развитие отраслей, обеспечивающих ускорение научно-технического прогресса. Даны предложения по дальнейшему развитию финансовых рынков Узбекистана.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32013/1/ebs_2023_104_111.pdf
К вопросу об экономическом развитии макрорегионов в контексте пространственной поляризации (на примере Центрально-Черноземного макрорегиона)|Шулякова В. В.|Проблема пространственной поляризации и межрегиональных различий стала наиболее актуальной в последние десятилетия за счет углубления мировой экономической глобализации. В силу недавней группировки субъектов страны в новые экономические макрорегионы вопросы организации социально-экономического развития регионов в условиях трансформации пространственной организации экономики не были изучены. В статье исследована роль сферы торговли в экономическом развитии Центрально-Черноземного макрорегиона, установлено место торговли в экономике макрорегиона и определено влияние и взаимосвязь развития торговли на углубление уровня пространственной поляризации, представлена структура торговой сферы Центрально-Черноземного макрорегиона.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32030/1/ebs_2023_231_235.pdf
Подозрительные операции контрагентов как основа финансовых расследований|Земсков В. В.|В процессе осуществления хозяйственной деятельности службам внутреннего контроля часто приходится проводить финансовый мониторинг за деятельностью контрагентов, клиентов, поставщиков. Подобные сложные системы нуждаются в очень важном компоненте – в анализе и сборе информации, ведь только в условиях объединения и консолидации всех сил в нужных направлениях задача по обеспечению безопасности хозяйствующего субъекта может решаться. Отмечается, что важным инструментом решения поставленной задачи выступают финансовые расследования, позволяющие вовремя обнаруживать угрозы и попытки совершения со стороны контрагентов, клиентов, поставщиков действий, которые негативно могут отразиться на финансово-хозяйственной деятельности хозяйствующего субъекта, а значит сохранять безопасность и порядок его экономического сектора. Сформулирован вывод о том, что в целях повышения экономической безопасности хозяйствующие субъекты обязаны выявлять подозрительные операции и анализировать экономическую деятельность своих контрагентов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32047/1/ebs_2023_349_352.pdf
Роль служб экономической безопасности в сохранности активов предприятия|Прокопьева Т. В.; Удача В. С.|Активы играют основополагающую роль, поскольку являются фундаментом для экономической деятельности предприятия и их защита является важным аспектом успеха организации. Для этого предприятиям необходимо иметь в структуре службу экономической безопасности, обеспечивающую выявление и предупреждение мошеннических действий и защиту имущества организации. В статье рассматриваются задачи службы экономической безопасности в сохранности активов предприятия, принципы работы службы, угрозы, возникающие на фоне хищений активов и неправильного распоряжения ими и методы их предотвращения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32052/1/ebs_2023_380_385.pdf
Оценка социально-экономической безопасности регионов Центрального федерального округа|Коростелкина И. А.; Монашова А. А.|Статья посвящена исследованию сущности социально-экономической безопасности региона и оценке уровня социально-экономической безопасности регионов Центрального Федерального округа. Устойчивое социально-экономическое развитие региона невозможно без организации стабильной системы, когда все сферы деятельности региона защищены от воздействия внешних и внутренних угроз, нежелательного воздействия. Ключевую роль в обеспечении этой стабильности играет повышение уровня социально-экономической безопасности региона.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32014/1/ebs_2023_112_121.pdf
Роль налоговых преступлений в отмывании денег|Ворошило В. В.|Статья посвящена глобальной проблеме борьбы с налоговыми преступлениями, которые на сегодняшний день являются предикатными по отношению к отмыванию доходов, полученных преступным путем. Рассмотрена роль международных организаций в исследовании проблем уклонения от налогообложения и методы борьбы с ними.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32053/1/ebs_2023_41_45.pdf
Оценка влияния кибербезопасности на электронный банкинг в Нигерии|Акулич М. М.; Олову Г. О.|Основная цель статьи – оценить влияние кибербезопасности на электронный банкинг в Нигерии. Интернет, без сомнения, является частью человеческого существования. Вся деятельность человека во всех фазах жизни либо уже в Интернете, либо почти в Интернете. Среди многочисленных секторов, в которые хорошо интегрирован Интернет, входит банковский сектор. Многие ученые исследовали электронный банкинг; плюсы и минусы, другие объяснили важность передовой системы кибербезопасности для банковских услуг. Тем не менее, среди множества социологических исследований, проведенных либо в области кибербезопасности, либо в области электронных банковских операций, очень мало научных работ, в которых дается оценка кибербезопасности электронных банковских операций в Нигерии. Таким образом, это исследование направлено на изучение уровня безопасности или нарушений кибербезопасности как фактора, оказывающего значительное влияние на электронный банкинг в Нигерии. В исследовании использовались как количественные, так и качественные методы исследования. Для обсуждения использовались вторичные данные из надежных открытых источников и ученых. Исследование показало, что в банковской системе Нигерии были нарушения из разных областей. Сделан вывод, что оценка уровня кибербезопасности является низкой по сравнению с тем, что ожидается, чтобы избежать многочисленных прогнозируемых атак в киберпространстве в ближайшие годы.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32033/1/ebs_2023_247_253.pdf
