Title|Authors|Abstract|PDF
Совершенствование механизма антикризисного управления предприятия авиатранспортной отрасли|Киселица Е. П.; Жеребцова С. С.|Целью выпускной квалификационной работы является совершенствование методических основ антикризисного управления для предприятий авиатранспортной отрасли.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35121/1/FEI_ZherebtsovaSS_2024.pdf
Управление денежными потоками в проектах ООО «РН-Уватнефтегаз»|Дегтярёва Е. В.; Старченко Д. В.|Цель исследования – изучить денежные потоки в проектах для выявления проблемных вопросов в их управлении и предложить возможные решения для достижения более эффективного и устойчивого их прогнозирования перед принятием инвестиционного решения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35127/1/FEI_StarchenkoDV_2024.pdf
Источники и порядок финансирования муниципальных целевых программ|Мирошниченко О. С.; Лапская Е. А.|Цель работы заключается в исследовании источников и порядка финансирования муниципальных целевых программ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35109/1/FEI_LapskayaEA_2024.pdf
Развитие национальной платежной системы России|Мирошниченко О. С.; Ушарова В. Е.|Цель работы – исследовать национальную платежную систему РФ на современном этапе с точки зрения основных тенденций ее развития.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35115/1/FEI_UsharovaVE_2024.pdf
Финансовые результаты деятельности предприятия и их оценка на примере ПАО «НК «Роснефть»|Фрицлер А. В.; Хилькевич Д. С.|Цель работы: провести анализ финансовых результатов деятельности ПАО «НК «Роснефть» и разработать резервы повышения её финансовых результатов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35146/1/FEI_KhilkevichDS_2024.pdf
Бюджетный контроль в сфере государственных закупок|Гамукин В. В.; Дубинина Ю. В.|Целью работы является исследование и совершенствование механизма деятельности органов бюджетного контроля в сфере государственных закупок.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35120/1/FEI_DubininaYuV_2024.pdf
Инвестиции предприятия в технологические инновации|Гамукин В. В.; Белоус М. В.|Целью работы является верификация гипотезы о значении инвестирования в инновационную деятельность для предприятия и других участников рынка.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35117/1/FEI_BelousMV_2024.pdf
Семиотический анализ иконописи в методологии Тартуско-московской и Парижской школ семиотики|Новокрещенных Е. В.; Шигапова В. И.|Цель данной работы – выявление сходств и различий в использовании лингвосемиотической терминологии и методологии при анализе иконописи в работах представителей Тартуско-московской и Парижской школ семиотики.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35135/1/ISiGN_ShigapovaVI_2024.pdf
Межэтнические авто- и гетеростереотипы как компонент социокультурного подхода в обучении русскому языку иностранных граждан|Шарафутдинова О. И.; Цапкова Н. А.|Цель данной работы – разработка методического инструментария, учитывающего авто- гетеростереотипные представления, для формирования социокультурной компетенции у иностранных граждан на уроках русского языка как иностранного.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35134/1/ISiGN_TsapkovaNA_2024.pdf
Управление основными фондами нефтедобывающего предприятия оценка эффективности и пути повышения|Толстолесова Л. А.; Бекарева В. Д.|Цель выпускной квалификационной работы состоит в оценке состояния и эффективности управления основными фондами нефтедобывающих предприятий.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35107/1/FEI_BekarevaVD_2024.pdf
Доходы муниципальных образований: проблемы формирования и резервы увеличения|Лазутина Д. В.; Захаров М. Н.|Цель настоящей работы – проанализировать доходы муниципальных бюджетов и определить способы и методы увеличения доходной части муниципальных образований, оценив их эффективность.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35105/1/FEI_ZakharovMN_2024.pdf
Банковское кредитование населения в России: организационно-финансовые проблемы|Толстолесова Л. А.; Терёхин А. А.|Целью работы является анализ состояния банковского кредитования населения в России, выявление организационно-финансовых проблем и перспектив их развития.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35149/1/FEI_TerekhinAA_2024.pdf
Автотранспортное страхование в России: оценка состояния и тенденции развития|Бабурина Н. А.; Липихина К. С.|Исследование экономических отношений, возникающих в процессе автотранспортного страхования в России.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35110/1/FEI_LipikhinaKS_2024.pdf
Финансовая политика автотранспортных предприятий|Захарова К. А.; Габышев И. Н.|Целью научно-исследовательской работы является анализ деятельности предприятия и разработка мероприятий в области совершенствования финансовой политики автотранспортных предприятий, осуществляющих пассажирские перевозки на территории Тюменской области.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35118/1/FEI_GabyshevIN_2024.pdf
Античные мотивы в цикле рассказов И. А. Бунина «Темные аллеи»|Эртнер Е. Н.; Колычева И. В.|Целью данной работы является выявление античных мотивов и исследование способов их художественной репрезентации в цикле рассказов И. А. Бунина «Темные аллеи».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35144/1/ISiGN_KolychevaIV_2024.pdf
Оценка действующего бизнеса|Толстолетова Л. А.; Никифорова Ю. В.|Целью работы является обзор существующих подходов к оценке стоимости бизнеса и оценка стоимости действующего предприятия.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35112/1/FEI_NikiforovaYuV_2024.pdf
Туристический бренд Тюменской области как лингвокультурологическое явление (на материале маркетинговой коммуникации)|Скнарев Д. С.; Бабийчук М. Г.|Цель исследования – описание лингвокультурологической специфики языковых средств создания туристического бренда Тюменской области в маркетинговой коммуникации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35130/1/ISiGN_BabiychukMG_2024.pdf
Модернизация бюджетного процесса в условиях применения программно-целевых методов управления|Гамукин В. В.; Игишева Н. К.|Целью данной квалификационной работы является поиск путей совершенствования бюджетного процесса в условиях реализации государственных программ в Тюменской области.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35122/1/FEI_IgishevaNK_2024.pdf
Инструменты инвестирования сбережений населения в условиях российского финансового рынка|Захарова К. А.; Чекардина Е. Е.|Целью исследования является комплексный статистический анализ сберегательного и инвестиционного потенциала населения Тюменской области и разработка предложений по трансформации сбережений в инвестиции.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35126/1/FEI_ChekardinaEE_2024.pdf
Механизмы языковой адаптации детей мигрантов в средней школе|Драчева С. О.; Багирова Л. Б.|Цель исследования – выявить связанные с языковыми проблемами образовательные потребности детей мигрантов и разработать на их основе механизмы, способствующие языковой адаптации школьников-инофонов в российской образовательной среде.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35132/1/ISiGN_BagirovaLB_2024.pdf
Повышение эффективности финансирования адресной инвестиционной программы ЯНАО|Юманова Н. Н.; Болгов М. А.|Целью работы является разработка рекомендаций по повышению эффективности финансирования Адресной инвестиционной программы Ямало-Ненецкого автономного округа.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35108/1/FEI_BolgovMA_2024.pdf
Стилистические варианты терминов в русском медицинском дискурсе|Кузнецова Н. В.; Чертенко Е. А.|Цель работы: выявить тенденции функционирования стилистических вариантов терминов в русском медицинском дискурсе в коммуникации врач – пациент и пациент – пациент.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35143/1/ISiGN_ChertenkoEA_2024.pdf
Финансовая устойчивость организации: оценка и управление|Мирошниченко О. С.; Терёхина С. В.|Цель выпускной квалифицированной работы состоит в обобщении теоретических положений и разработке практических мероприятий по повышению финансовой устойчивости организации на примере ООО «ЗОЛОТОЙ ЛЕВ-72».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35138/1/FEI_TerekhinaSV_2024.pdf
Планирование и бюджетирование затрат в управлении персоналом|Фрицлер А. В.; Мартынова А. А.|Цель работы – выявление особенностей и разработка рекомендаций повышения эффективности бюджетирования затрат на персонал ООО «ГПН-Развитие».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35148/1/FEI_MartyunovaAA_2024.pdf
Цифровизация деятельности предприятия|Киселица Е. П.; Чернова Е. С.|Цель диссертационной работы: усовершенствовать методические основы цифровизации деятельности предприятия.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35128/1/FEI_ChernovaES_2024.pdf
Эффективность финансовых вложений в человеческий капитал|Толстолесова Л. А.; Виниченко Е. А.|Целью работы является исследование эффективности финансовых вложений в человеческий капитал предприятия.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35116/1/FEI_VinichenkoEA_2024.pdf
Лексические средства характеристики образов персонажей в повестях А. и Б. Стругацких «Трудно быть богом» и «Обитаемый остров»|Купчик Е. В.; Батюкова Е. А.|Цель исследования – описать семантику и текстовые функции лексических средств характеристики образов персонажей произведений «Трудно быть богом» и «Обитаемый остров» Аркадия и Бориса Стругацких.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35145/1/ISiGN_BatyukovaEA_2024.pdf
Экстратексты рукописных и старопечатных книг кириллической традиции XVI-XX вв. из собрания А. Г. Елфимова: язык и классификация|Новокрещенных Е. В.; Садыкова С. И.|Цель исследования – выявить языковые, палеографические и кодикологические особенности экстратекстов в книгах из коллекции А. Г. Елфимова.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35142/1/ISiGN_SadykovaSI_2024.pdf
Семантическое развитие и речевая реализация предлогов «в отношении» и «по отношению к» в XIX-XXI вв. (на материале национального корпуса русского языка)|Аксарина Н. А.; Ефимова Л. А.|Цель исследования – описать процесс и условия семантического развития предлогов «в отношении» и «по отношению к» и современную систему их значений.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35136/1/ISiGN_EfimovaLA_2024.pdf
Особенности формирования финансового результата в автосервисных предприятиях|Гамукин В. В.; Текутьев Л. А.|Цель работы – выявление ключевых факторов улучшения финансового результата автосервисных предприятий, включая улучшение качества обслуживания клиентов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35114/1/FEI_TekutevLA_2024.pdf
Финансовое мошенничество в банковском секторе РФ проблемы оценки и управления|Юманова Н. Н.; Орлов К. А.|Цель работы – определение основных направлений совершенствования системы оценки и управления рисками финансового мошенничества в банковском секторе России.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35150/1/FEI_OrlovKA_2024.pdf
Государственное регулирование тарифов на электрическую энергию (мощность)|Лазутина Д. В.; Колунина Е. А.|Целью настоящей работы является – проанализировать существующие меры государственного тарифного регулирования электрической энергии (мощности) для выявления проблем и разработки мероприятий по их решению.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35124/1/FEI_KoluninaEA_2024.pdf
Организация дистанционного обучения в общеобразовательной организации|Бояркина Ю. А.; Сарова Д. С.|Цель исследования: отобрать, теоретически обосновать и экспериментально проверить организационно-педагогические условия организации процесса управления дистанционным обучением в общеобразовательной школе.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22735/1/SarovaDS_2023.pdf
Защита и обвинение в Российском суде присяжных|Верхотурова С. В.; Колесников С. М.|Целью исследования является выявление и разрешение теоретических и практических проблем, связанных с участием государственного обвинителя, защитника, других представителей со стороны обвинения и защиты в суде присяжных.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28349/1/vr23-769.pdf
Формирование техники борьбы на руках в стиле «топ ролл» у классифицированных армрестлеров|Колунин Е. Т.; Саитов З. Н.|В магистерской диссертации рассматривается формирование техники борьбы на руках в стиле «топ ролл» у квалифицированных армрестлеров.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/31261/1/SaitovZN_2023.pdf
Разработка проекта платформы переработки вторичных ресурсов на основе цифровой циркулярной бизнес-модели|Захарова К. А.; Алдегли А.; Муалла Р.; Шарков А. А.; Шуклин Д. С.|Целью работы является разработка проекта платформы переработки вторичных ресурсов, направленной на создание новых экономических возможностей и стимулирования использования вторичных ресурсов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28385/1/Aldegli_Muala_Sharkov_Shuklin_2023.pdf
Термическая деструкция полипропилена в водной среде|Каюгин А. А.; Полуянова А. А.|Цель работы: изучение закономерности термической деструкции полипропилена в водной среде при различных условиях.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/29092/1/PoluyanovaAA_2023.pdf
Спрос на цифровые навыки на рынке труда в регионах России|Гильтман М. А.; Головян А. С.; Мурзагулова Р. Ф.; Тарасов М. А.; Янишева Я. Р.|Целью работы является оценка текущего спроса и отдачи на цифровые навыки в разрезе профессий и разработка рекомендаций для социально-экономической политики регионов России.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28386/1/Golovyan_Murzagulova_Tarasov_Yanisheva_2023.pdf
Организация внеурочной занятости учащихся среднего звена для профилактики отклоняющегося поведения|Арефьева А. В.; Огонбаева А. Т.|Цель исследования: теоретически обосновать модель организации внеурочной занятости для профилактики отклоняющегося поведения учащихся среднего звена и экспериментально оценить возможности ее реализации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22731/1/OgonbaevaAT_2023.pdf
Языковые параметры радиообмена гражданской авиации|Ульянова О. Б.; Пудовкина О. Н.|Целью исследования является определение языковых параметров радиообмена между пилотами и авиадиспетчерами, а также случаев языковых нарушений и их коррекции при обучении авиационному английскому языку.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/23992/1/PudovkinaON_2023.pdf
Связь любовной зависимости и особенностей личности женщин среднего возраста|Мурзина Ю. С.; Сапичева Ф. Р.|Цель работы – исследовать связь любовной зависимости с особенностями личности женщин среднего возраста.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/29115/1/SapichevaFR_2023.pdf
Английский язык для профессиональных целей: развитие иноязычной компетенции авиаторов|Остапенко А. С.; Хованских М. В.|Цель данной магистерской диссертации заключается в создании модели обучения авиационному английскому языку с учетом современных требований.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/23994/2/KhovanskikhM_2023.pdf
Совершенствование технической подготовки спортсменов-сноубордистов 10-12 лет|Малеев Д. О.; Козлов А. А.|В магистерской диссертации рассматривается проблемы подготовки спортсменов-сноубордистов в подготовительном периоде годового цикла тренировки. В работе показана эффективность предложенных средств и методов оптимизации учебно-тренировочного процесса спортсменов-сноубордистов 10–12 лет в условиях ГАУ ТО «Центр спорта и отдыха «Воронинские горки».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/31260/1/KozlovAA_2023.pdf
Сравнительный анализ суда присяжных в дореволюционной и современной России|Винниченко О. Ю.; Черных С. А.|Целью исследования является является проведение всестороннего сравнения суда присяжных в дореволюционной и современной России.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28334/1/vr23-550.pdf
Детерминанты суицидального поведения: уголовно-правовые и криминологические аспекты|Пережогина Г. В.; Скифская К. Н.|Исследование общественных отношений, связанных с совершением криминального самоубийства и доведением до самоубийства, а также общественные отношения по предупреждению данных общественных явлений.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28345/1/vr23-778.pdf
Особенности рынка дистрибуции цифрового музыкального контента|Андрианова Е. В.; Баталов А. С.|Цель исследования – изучение характерных особенностей и специфики современного российского рынка дистрибуции цифрового музыкального контента в контексте профессиональной группы начинающих музыкантов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28315/1/BatalovAS_2023.pdf
Организация проектной деятельности школьников с применением технологии Agile|Рогачева Н. А.; Козлова Е. В.|Цель исследования – теоретическое обоснование и экспериментальная проверка условий организации проектной деятельности школьников с применением технологии Agile.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22724/1/KozlovaEV_2023.pdf
Языковые средства репрезентации гендерной идентичности автора при переводе научно-популярных текстов (на примере статей журнала «New Scientist»)|Сеченова Е. Г.; Остякова А. А.|Целью исследования является выявление гендерного аспекта авторства научно-популярных текстов и его влияние на реализацию стратегий самостоятельного перевода, а также обоснование учёта гендерной идентичности авторов при самостоятельном переводе на разных уровнях языковой системы при самостоятельном переводе статей из научно-популярного журнала «New Scientist».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/23993/1/OstyakovaAA_2023.pdf
Проблемы соотношения административной и уголовной ответственности в аспекте профилактики семейно-бытового насилия|Бакулина И. П.; Бадрызлова О. Ф.|Целью исследования является разработка предложений по совершенствованию законодательства об административной и уголовной ответственности за побои в аспекте профилактики семейно-бытового насилия.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28330/1/vr23-511.pdf
Дербент в эпоху долгого средневековья: инфраструктура, общество, этапы политической истории|Кулешов В. С.; Мирзоев Х. А.|Основной целью данной работы является отображение взаимодействия общества с городским пространством Дербента.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/29082/1/MirzoevKhA_2023.pdf
Повышение устойчивости решения задачи оптимизации режимов закачки нагнетательных скважин|Игошин Д. Е.; Копанев В. И.|Целью работы является разработка предложений повышающих преемственность оптимальных режимов в результате нейросетевой оптимизации режимов работы нагнетательных скважин при выполнении нового расчета на новый квартал без существенной потерей скорости расчетов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28585/1/KopanevVI_2023.pdf
Обучение лексике научного стиля иностранных студентов в полилингвальной аудитории|Басова Л. В.; Иванченко А. Е.|Цель исследования: описание методических приёмов обучения лексике научного стиля иностранных студентов с уровнем владения В2-С1 в полилингвальной аудитории.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28789/1/IvanchenkoAE_2023.pdf
Социально-экономическое развитие сельскохозяйственных организаций Тюменской области|Давыденко В. А.; Худякова Ю.|Цели исследования – проанализировать и выявить особенности социально-экономического развития сельскохозяйственных организаций в контекстах институциональной динамики; социально-экономические, экологические и институциональные аспекты развития сельских территорий в Тюменской области.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28321/1/KhudyakovaYu_2023.pdf
Правовое регулирование занятости и трудоустройства населения (сравнительный анализ законодательства Российской Федерации и Республики Таджикистан)|Чикирева И. П.; Ёрова Н. И.|Цель работы – выявление особенностей правового регулирования занятости и трудоустройства населения в Российской Федерации и Республике Таджикистан.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28379/1/vr23-1077.pdf
Манипулятивные приемы информационных агентств, направленные на идентичность граждан|Гришин В. В.; Петров А. В.|Цель исследования – выявление и оценка эффективности воздействия манипулятивных приёмов, используемых информационными агентствами, на примере ИП «Голос Америки», направленных на изменение идентичности граждан РФ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/21887/1/PetrovAV_2023.pdf
Применение внутритрубных сепараторов на объекта подготовки газа|Шастунова У. Ю.; Данилов М. А.|Целью дипломной работы является практическая и экономическая оценка эффективности установки внутритрубного сепаратора на УКПГ нефтегазоконденсатного месторождения N.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28581/1/DanilovMA_2023.pdf
Связь психологического благополучия с копинг-стратегиями у студентов|Булатова О. В.; Нестерова Д. С.|Цель исследования – изучить связь психологического благополучия с копинг стратегиями у студенческой молодежи.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/29113/1/NesterovaDS_2023.pdf
Агротехнологическая модель цифровизации ведения сельскохозяйственной деятельности в эпоху цифровой экономики|Зюбан Е. В.; Никитин О. О.; Безгин М. П.|Целью работы является оценка уровня готовности и экономической эффективности внедрения агротехнологий на сельскохозяйственное предприятие для перехода в направление АГТЕХ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/28390/1/Nikitin_Bezgin_2023.pdf
Апробация тренинга коррекции психического состояния жертв «токсичных» отношений|Лёвкин В. Е.; Алексеева Е. В.; Сазонова А. Л.|Цель исследования: разработать и апробировать тренинг, основанный на стимулировании клиента мыслить корректно логически, критически, применимый в психологическом консультировании участников «токсичных» отношений.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/29099/1/Alekseeva_Sazonova_2023.pdf
